year,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
2005,229060,2190,226870,39920,410,39510
2006,229060,2190,226870,39920,410,39510
2007,229060,2190,226870,39920,410,39510
2008,229060,2190,226870,39920,410,39510
2009,229060,2190,226870,39920,410,39510
2010,229060,2190,226870,39920,410,39510
2011,229060,2190,226870,39920,410,39510
2012,229060,2190,226870,39920,410,39510
2013,234580,2240,232340,40030,410,39620
2014,235030,2360,232670,40430,430,40000
2015,234190,2350,231840,40730,440,40290
2016,249260,2600,246660,40890,440,40450
2017,255180,2470,252710,41070,460,40610
2018,268670,2550,266120,41400,480,40920
2019,271270,2670,268600,42260,500,41760
2020,279100,2620,276480,42690,520,42170
2021,284200,2650,281550,44130,530,43600
2022,290560,2710,287850,43780,530,43250
2023,300590,2800,297790,43700,530,43170
2024,300590,2800,297790,43700,530,43170
