year,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
2005,284680,156760,127920,142510,80560,61950
2006,284680,156760,127920,142510,80560,61950
2007,284680,156760,127920,142510,80560,61950
2008,284680,156760,127920,142510,80560,61950
2009,284680,156760,127920,142510,80560,61950
2010,284680,156760,127920,142510,80560,61950
2011,284680,156760,127920,142510,80560,61950
2012,284680,156760,127920,142510,80560,61950
2013,290200,160750,129450,144570,82700,61870
2014,289610,162730,126880,147260,84970,62290
2015,291150,163050,128100,149300,86540,62760
2016,304930,172530,132400,153030,88700,64330
2017,310440,175650,134790,157700,92350,65350
2018,319160,181960,137200,160820,94230,66590
2019,328030,186080,141950,165460,97110,68350
2020,333680,187620,146060,167790,97560,70230
2021,338090,191090,147000,169280,98140,71140
2022,343040,193350,149690,171920,99940,71980
2023,348840,194980,153860,172010,99350,72660
2024,348840,194980,153860,172010,99350,72660
