year,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
2005,58980,14600,44380,2700,1240,1460
2006,58980,14600,44380,2700,1240,1460
2007,58980,14600,44380,2700,1240,1460
2008,58980,14600,44380,2700,1240,1460
2009,58980,14600,44380,2700,1240,1460
2010,58980,14600,44380,2700,1240,1460
2011,58980,14600,44380,2700,1240,1460
2012,58980,14600,44380,2700,1240,1460
2013,62710,16210,46500,2770,1270,1500
2014,65630,16600,49030,2820,1300,1520
2015,64860,16520,48340,2890,1350,1540
2016,66730,16200,50530,2940,1400,1540
2017,59250,15610,43640,3010,1440,1570
2018,56430,14350,42080,3080,1490,1590
2019,54740,15650,39090,3210,1560,1650
2020,55670,14160,41510,3260,1600,1660
2021,47200,13730,33470,3290,1620,1670
2022,47050,13620,33430,3330,1650,1680
2023,47230,14340,32890,3240,1560,1680
2024,47230,14340,32890,3240,1560,1680
