year,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
2005,47150,26830,20320,23540,13500,10040
2006,47150,26830,20320,23540,13500,10040
2007,47150,26830,20320,23540,13500,10040
2008,47150,26830,20320,23540,13500,10040
2009,47150,26830,20320,23540,13500,10040
2010,47150,26830,20320,23540,13500,10040
2011,47150,26830,20320,23540,13500,10040
2012,47150,26830,20320,23540,13500,10040
2013,48610,27880,20730,23720,13660,10060
2014,52380,30100,22280,24090,14040,10050
2015,54270,30900,23370,24450,14210,10240
2016,60140,34090,26050,24400,14130,10270
2017,62130,36290,25840,24500,14300,10200
2018,60300,35030,25270,24370,14270,10100
2019,61780,35920,25860,22840,13150,9690
2020,60530,35470,25060,23100,13420,9680
2021,61090,35530,25560,23660,13900,9760
2022,60650,35810,24840,24000,14020,9980
2023,59610,35670,23940,23710,13900,9810
2024,59610,35670,23940,23710,13900,9810
