year,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
2005,79190,43120,36070,20130,10990,9140
2006,79190,43120,36070,20130,10990,9140
2007,79190,43120,36070,20130,10990,9140
2008,79190,43120,36070,20130,10990,9140
2009,79190,43120,36070,20130,10990,9140
2010,79190,43120,36070,20130,10990,9140
2011,79190,43120,36070,20130,10990,9140
2012,79190,43120,36070,20130,10990,9140
2013,79030,42670,36360,20200,11250,8950
2014,79990,43340,36650,20170,11140,9030
2015,80900,44950,35950,20940,12140,8800
2016,81080,44960,36120,21270,12160,9110
2017,80500,44730,35770,21210,12080,9130
2018,83180,46570,36610,20960,12130,8830
2019,82310,45660,36650,20970,12100,8870
2020,85720,47070,38650,20910,12030,8880
2021,90390,50460,39930,21680,12740,8940
2022,89010,48690,40320,21170,12250,8920
2023,89380,49730,39650,21080,12320,8760
2024,89380,49730,39650,21080,12320,8760
