year,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
2005,244180,130270,113910,164770,91110,73660
2006,244180,130270,113910,164770,91110,73660
2007,244180,130270,113910,164770,91110,73660
2008,244180,130270,113910,164770,91110,73660
2009,244180,130270,113910,164770,91110,73660
2010,244180,130270,113910,164770,91110,73660
2011,244180,130270,113910,164770,91110,73660
2012,244180,130270,113910,164770,91110,73660
2013,246210,131760,114450,163890,90600,73290
2014,242550,130000,112550,163660,90280,73380
2015,240390,130260,110130,162460,89750,72710
2016,243820,132620,111200,162510,89320,73190
2017,243170,133050,110120,160420,88100,72320
2018,253290,136400,116890,158770,87200,71570
2019,246440,130370,116070,147510,80380,67130
2020,247270,130340,116930,140730,76370,64360
2021,254170,132910,121260,137040,73340,63700
2022,254850,131450,123400,135360,72770,62590
2023,256290,131150,125140,132330,71170,61160
2024,256290,131150,125140,132330,71170,61160
