year,CasesBoth,CasesMale,CasesFemale,DeathsBoth,DeathsMale,DeathsFemale
2005,11280,6110,5170,3900,2050,1850
2006,11280,6110,5170,3900,2050,1850
2007,11280,6110,5170,3900,2050,1850
2008,11280,6110,5170,3900,2050,1850
2009,11280,6110,5170,3900,2050,1850
2010,11280,6110,5170,3900,2050,1850
2011,11280,6110,5170,3900,2050,1850
2012,11280,6110,5170,3900,2050,1850
2013,11410,6290,5120,4390,2500,1890
2014,12020,6550,5470,4740,2550,2190
2015,11930,6610,5320,4870,2600,2270
2016,12310,6980,5330,4990,2680,2310
2017,12390,6890,5500,4990,2670,2320
2018,13040,7370,5670,5150,2770,2380
2019,12750,7240,5510,5270,2840,2430
2020,13130,7470,5660,5350,2870,2480
2021,13460,7720,5740,5350,2840,2510
2022,13190,7590,5600,5130,2740,2390
2023,13400,7400,6000,5140,2720,2420
2024,13400,7400,6000,5140,2720,2420
